模板编号,特征ID,特征名称,组成面,特征面,面类型,侧壁特征,余量,工序阶段,工艺类型
P070,9,矩形通槽,T2orT3,平面,plane,是,大于0.0,半精加工,底壁铣
P071,9,矩形通槽,T2orT3,平面,plane,是,小于等于0.0,精加工,底壁铣
P072,9,矩形通槽,T2orT3,平面,plane,是,,清根,
P073,9,矩形通槽,T1,垂直面,plane,是,,粗加工,
P074,9,矩形通槽,T1,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P075,9,矩形通槽,T1,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P076,9,矩形通槽,T1,垂直面,plane,是,,清根,
P077,9,矩形通槽,T2orT3,平面,plane,否,大于0.0,半精加工,底壁铣
P078,9,矩形通槽,T2orT3,平面,plane,否,小于等于0.0,精加工,底壁铣
P079,9,矩形通槽,T2orT3,平面,plane,否,,清根,
P080,9,矩形通槽,T1,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P081,9,矩形通槽,T1,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P082,9,矩形通槽,T1,垂直面,plane,否,,清根,
P083,10,梯形通槽,T2orT3,平面,plane,是,,粗加工,
P084,10,梯形通槽,T2orT3,平面,plane,是,大于0.0,半精加工,底壁铣
P085,10,梯形通槽,T2orT3,平面,plane,是,小于等于0.0,精加工,底壁铣
P086,10,梯形通槽,T2orT3,平面,plane,是,,清根,
P087,10,梯形通槽,T1,垂直面,plane,是,,粗加工,
P088,10,梯形通槽,T1,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P089,10,梯形通槽,T1,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P090,10,梯形通槽,T2,垂直面,plane,是,,清根,
P091,10,梯形通槽,T2orT3,平面,plane,否,大于0.0,半精加工,底壁铣
P092,10,梯形通槽,T2orT3,平面,plane,否,小于等于0.0,精加工,底壁铣
P093,10,梯形通槽,T2orT3,平面,plane,否,,清根,
P094,10,梯形通槽,T1,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P095,10,梯形通槽,T1,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P096,10,梯形通槽,T1,垂直面,plane,否,,清根,
P097,11,矩形通台阶,T2,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P098,11,矩形通台阶,T2,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P099,11,矩形通台阶,T1,平面,plane,否,大于0.0,半精加工,底壁铣
P100,11,矩形通台阶,T1,平面,plane,否,小于等于0.0,精加工,底壁铣
P101,11,矩形通台阶,T2,垂直面,plane,是,,粗加工,
P102,11,矩形通台阶,T2,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P103,11,矩形通台阶,T2,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P104,11,矩形通台阶,T1,平面,plane,是,,粗加工,
P105,11,矩形通台阶,T1,平面,plane,是,大于0.0,半精加工,底壁铣
P106,11,矩形通台阶,T1,平面,plane,是,小于等于0.0,精加工,底壁铣
P107,12,燕尾通台阶,T2orT3,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P108,12,燕尾通台阶,T2orT3,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P109,12,燕尾通台阶,T2orT3,垂直面,plane,否,,清根,
P110,12,燕尾通台阶,T1,平面,plane,否,大于0.0,半精加工,底壁铣
P111,12,燕尾通台阶,T1,平面,plane,否,小于等于0.0,精加工,底壁铣
P112,12,燕尾通台阶,T1,平面,plane,否,,清根,
P113,12,燕尾通台阶,T2orT3,垂直面,plane,是,,粗加工,
P114,12,燕尾通台阶,T2orT3,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P115,12,燕尾通台阶,T2orT3,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P116,12,燕尾通台阶,T2orT3,垂直面,plane,是,,清根,
P117,12,燕尾通台阶,T1,平面,plane,是,,粗加工,
P118,12,燕尾通台阶,T1,平面,plane,是,大于0.0,半精加工,底壁铣
P119,12,燕尾通台阶,T1,平面,plane,是,小于等于0.0,精加工,底壁铣
P120,12,燕尾通台阶,T1,平面,plane,是,,清根,
P121,13,斜通台阶,T2,斜面,plane,否,大于0.0,半精加工,深度轮廓铣
P122,13,斜通台阶,T2,斜面,plane,否,小于等于0.0,精加工,深度轮廓铣
P123,13,斜通台阶,T1,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P124,13,斜通台阶,T1,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P125,13,斜通台阶,T2,斜面,plane,是,,粗加工,
P126,13,斜通台阶,T2,斜面,plane,是,大于0.0,半精加工,深度轮廓铣
P127,13,斜通台阶,T2,斜面,plane,是,小于等于0.0,精加工,深度轮廓铣
P128,13,斜通台阶,T1,垂直面,plane,是,,粗加工,
P129,13,斜通台阶,T1,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P130,13,斜通台阶,T1,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P131,14,矩形凹槽,T2orT3orT4orT5,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P132,14,矩形凹槽,T2orT3orT4orT5,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P133,14,矩形凹槽,T2orT3orT4orT5,垂直面,plane,否,,清根,
P134,14,矩形凹槽,T1,平面,plane,否,大于0.0,半精加工,底壁铣
P135,14,矩形凹槽,T1,平面,plane,否,小于等于0.0,精加工,底壁铣
P136,14,矩形凹槽,T1,平面,plane,否,,清根,
P137,14,矩形凹槽,T2orT3orT4orT5,垂直面,plane,是,,粗加工,
P138,14,矩形凹槽,T2orT3orT4orT5,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P139,14,矩形凹槽,T2orT3orT4orT5,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P140,14,矩形凹槽,T2orT3orT4orT5,垂直面,plane,是,,清根,
P141,14,矩形凹槽,T1,平面,plane,是,,粗加工,
P142,14,矩形凹槽,T1,平面,plane,是,大于0.0,半精加工,底壁铣
P143,14,矩形凹槽,T1,平面,plane,是,小于等于0.0,精加工,底壁铣
P144,14,矩形凹槽,T1,平面,plane,是,,清根,
P145,15,三角凹槽,T2orT3orT4,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P146,15,三角凹槽,T2orT3orT4,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P147,15,三角凹槽,T2orT3orT4,垂直面,plane,否,,清根,
P148,15,三角凹槽,T1,平面,plane,否,大于0.0,半精加工,底壁铣
P149,15,三角凹槽,T1,平面,plane,否,小于等于0.0,精加工,底壁铣
P150,15,三角凹槽,T1,平面,plane,否,,清根,
P151,15,三角凹槽,T2orT3orT4,垂直面,plane,是,,粗加工,
P152,15,三角凹槽,T2orT3orT4,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P153,15,三角凹槽,T2orT3orT4,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P154,15,三角凹槽,T2orT3orT4,垂直面,plane,是,,清根,
P155,15,三角凹槽,T1,平面,plane,是,,粗加工,
P156,15,三角凹槽,T1,平面,plane,是,大于0.0,半精加工,底壁铣
P157,15,三角凹槽,T1,平面,plane,是,小于等于0.0,精加工,底壁铣
P158,15,三角凹槽,T1,平面,plane,是,,清根,
P159,16,正六边形凹槽,T2orT3orT4orT5orT6orT7,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P160,16,正六边形凹槽,T2orT3orT4orT5orT6orT7,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P161,16,正六边形凹槽,T2orT3orT4orT5orT6orT7,垂直面,plane,否,,清根,
P162,16,正六边形凹槽,T1,平面,plane,否,大于0.0,半精加工,底壁铣
P163,16,正六边形凹槽,T1,平面,plane,否,小于等于0.0,精加工,底壁铣
P164,16,正六边形凹槽,T1,平面,plane,否,,清根,
P165,16,正六边形凹槽,T2orT3orT4orT5orT6orT7,垂直面,plane,是,,粗加工,
P166,16,正六边形凹槽,T2orT3orT4orT5orT6orT7,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P167,16,正六边形凹槽,T2orT3orT4orT5orT6orT7,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P168,16,正六边形凹槽,T2orT3orT4orT5orT6orT7,垂直面,plane,是,,清根,
P169,16,正六边形凹槽,T1,平面,plane,是,,粗加工,
P170,16,正六边形凹槽,T1,平面,plane,是,大于0.0,半精加工,底壁铣
P171,16,正六边形凹槽,T1,平面,plane,是,小于等于0.0,精加工,底壁铣
P172,16,正六边形凹槽,T1,平面,plane,是,,清根,
P173,17,矩形盲槽,T2orT3orT4,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P174,17,矩形盲槽,T2orT3orT4,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P175,17,矩形盲槽,T2orT3orT4,垂直面,plane,否,,清根,
P176,17,矩形盲槽,T1,平面,plane,否,大于0.0,半精加工,底壁铣
P177,17,矩形盲槽,T1,平面,plane,否,小于等于0.0,精加工,底壁铣
P178,17,矩形盲槽,T1,平面,plane,否,,清根,
P179,17,矩形盲槽,T2orT3orT4,垂直面,plane,是,,粗加工,
P180,17,矩形盲槽,T2orT3orT4,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P181,17,矩形盲槽,T2orT3orT4,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P182,17,矩形盲槽,T2orT3orT4,垂直面,plane,是,,清根,
P183,17,矩形盲槽,T1,平面,plane,是,,粗加工,
P184,17,矩形盲槽,T1,平面,plane,是,大于0.0,半精加工,底壁铣
P185,17,矩形盲槽,T1,平面,plane,是,小于等于0.0,精加工,底壁铣
P186,17,矩形盲槽,T1,平面,plane,是,,清根,
P187,18,环槽,T2orT3,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P188,18,环槽,T2orT3,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P189,18,环槽,T1,平面,plane,否,大于0.0,半精加工,底壁铣
P190,18,环槽,T1,平面,plane,否,小于等于0.0,精加工,底壁铣
P191,18,环槽,T2orT3,垂直面,plane,是,,粗加工,
P192,18,环槽,T2orT3,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P193,18,环槽,T2orT3,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P194,18,环槽,T1,平面,plane,是,,粗加工,
P195,18,环槽,T1,平面,plane,是,大于0.0,半精加工,底壁铣
P196,18,环槽,T1,平面,plane,是,小于等于0.0,精加工,底壁铣
P197,19,盲孔,T2,孔,,,,,
P198,19,盲孔,T2,,,,,,
P199,19,盲孔,T1,,,,,,
P200,19,盲孔,T2,,,,,,
P201,20,圆形键槽,T2orT3orT4orT5,垂直面,plane/cylindrical,否,大于0.0,半精加工,平面轮廓铣
P202,20,圆形键槽,T2orT3orT4orT5,垂直面,plane/cylindrical,否,小于等于0.0,精加工,平面轮廓铣
P203,20,圆形键槽,T1,平面,plane,否,大于0.0,半精加工,底壁铣
P204,20,圆形键槽,T1,平面,plane,否,小于等于0.0,精加工,底壁铣
P205,20,圆形键槽,T2orT3orT4orT5,垂直面,plane/cylindrical,是,,粗加工,
P206,20,圆形键槽,T2orT3orT4orT5,垂直面,plane/cylindrical,是,大于0.0,半精加工,平面轮廓铣
P207,20,圆形键槽,T2orT3orT4orT5,垂直面,plane/cylindrical,是,小于等于0.0,精加工,平面轮廓铣
P208,20,圆形键槽,T1,平面,plane,是,,粗加工,
P209,20,圆形键槽,T1,平面,plane,是,大于0.0,半精加工,底壁铣
P210,20,圆形键槽,T1,平面,plane,是,小于等于0.0,精加工,底壁铣
P211,21,竖直圆形键槽,T2orT3orT4,垂直面,plane/cylindrical,否,大于0.0,半精加工,平面轮廓铣
P212,21,竖直圆形键槽,T2orT3orT4,垂直面,plane/cylindrical,否,小于等于0.0,精加工,平面轮廓铣
P213,21,竖直圆形键槽,T1,平面,plane,否,大于0.0,半精加工,底壁铣
P214,21,竖直圆形键槽,T1,平面,plane,否,小于等于0.0,精加工,底壁铣
P215,21,竖直圆形键槽,T2orT3orT4,垂直面,plane/cylindrical,是,,粗加工,
P216,21,竖直圆形键槽,T2orT3orT4,垂直面,plane/cylindrical,是,大于0.0,半精加工,平面轮廓铣
P217,21,竖直圆形键槽,T2orT3orT4,垂直面,plane/cylindrical,是,小于等于0.0,精加工,平面轮廓铣
P218,21,竖直圆形键槽,T1,平面,plane,是,,粗加工,
P219,21,竖直圆形键槽,T1,平面,plane,是,大于0.0,半精加工,底壁铣
P220,21,竖直圆形键槽,T1,平面,plane,是,小于等于0.0,精加工,底壁铣
P221,22,水平圆形键槽,,曲面,cylindrical,是,,粗加工,
P222,22,水平圆形键槽,,曲面,cylindrical,是,大于0.0,半精加工,曲面轮廓铣
P223,22,水平圆形键槽,,曲面,cylindrical,是,小于等于0.0,精加工,曲面轮廓铣
P224,22,水平圆形键槽,,垂直面,plane,是,,粗加工,
P225,22,水平圆形键槽,,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P226,22,水平圆形键槽,,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P227,22,水平圆形键槽,,曲面,cylindrical,否,大于0.0,半精加工,曲面轮廓铣
P228,22,水平圆形键槽,,曲面,cylindrical,否,小于等于0.0,精加工,曲面轮廓铣
P229,22,水平圆形键槽,,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P230,22,水平圆形键槽,,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P231,23,矩形盲台阶,T2orT3,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P232,23,矩形盲台阶,T2orT3,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P233,23,矩形盲台阶,T1,平面,plane,否,大于0.0,半精加工,底壁铣
P234,23,矩形盲台阶,T1,平面,plane,否,小于等于0.0,精加工,底壁铣
P235,23,矩形盲台阶,T2orT3,垂直面,plane,是,,粗加工,
P236,23,矩形盲台阶,T2orT3,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P237,23,矩形盲台阶,T2orT3,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P238,23,矩形盲台阶,T1,平面,plane,是,,粗加工,
P239,23,矩形盲台阶,T1,平面,plane,是,大于0.0,半精加工,底壁铣
P240,23,矩形盲台阶,T1,平面,plane,是,小于等于0.0,精加工,底壁铣
P241,24,圆形盲台阶,T2,垂直面,cylindrical,是,,粗加工,
P242,24,圆形盲台阶,T2,垂直面,cylindrical,是,大于0.0,半精加工,平面轮廓铣
P243,24,圆形盲台阶,T2,垂直面,cylindrical,是,小于等于0.0,精加工,平面轮廓铣
P244,24,圆形盲台阶,T1,平面,plane,是,,粗加工,
P245,24,圆形盲台阶,T1,平面,plane,是,大于0.0,半精加工,底壁铣
P246,24,圆形盲台阶,T1,平面,plane,是,小于等于0.0,精加工,底壁铣
P247,24,圆形盲台阶,T2,垂直面,cylindrical,否,大于0.0,半精加工,平面轮廓铣
P248,24,圆形盲台阶,T2,垂直面,cylindrical,否,小于等于0.0,精加工,平面轮廓铣
P249,24,圆形盲台阶,T1,平面,plane,否,大于0.0,半精加工,底壁铣
P250,24,圆形盲台阶,T1,平面,plane,否,小于等于0.0,精加工,底壁铣
P251,25,三角形盲台阶,T2,斜面,plane,否,大于0.0,半精加工,深度轮廓铣
P252,25,三角形盲台阶,T2,斜面,plane,否,小于等于0.0,精加工,深度轮廓铣
P253,25,三角形盲台阶,T1,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P254,25,三角形盲台阶,T1,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P255,25,三角形盲台阶,T2,斜面,plane,是,,粗加工,
P256,25,三角形盲台阶,T2,斜面,plane,是,大于0.0,半精加工,深度轮廓铣
P257,25,三角形盲台阶,T2,斜面,plane,是,小于等于0.0,精加工,深度轮廓铣
P258,25,三角形盲台阶,T1,垂直面,plane,是,,粗加工,
P259,25,三角形盲台阶,T1,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P260,25,三角形盲台阶,T1,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P261,26,倒角,T1,垂直面,plane,否,大于0.0,半精加工,平面轮廓铣
P262,26,倒角,T1,垂直面,plane,否,小于等于0.0,精加工,平面轮廓铣
P263,26,倒角,T1,垂直面,plane,是,,粗加工,
P264,26,倒角,T1,垂直面,plane,是,大于0.0,半精加工,平面轮廓铣
P265,26,倒角,T1,垂直面,plane,是,小于等于0.0,精加工,平面轮廓铣
P266,27,圆角,T1,曲面,cylindrical,否,大于0.0,半精加工,曲面轮廓铣
P267,27,圆角,T1,曲面,cylindrical,否,小于等于0.0,精加工,曲面轮廓铣
P268,27,圆角,T1,曲面,cylindrical,是,,粗加工,
P269,27,圆角,T1,曲面,cylindrical,是,大于0.0,半精加工,曲面轮廓铣
P270,27,圆角,T1,曲面,cylindrical,是,小于等于0.0,精加工,曲面轮廓铣
